adm0,date,stat,cases_asymptomatic_active,cumulative_deaths,daily_cases,daily_cases_reported,daily_deaths,cumulative_cases,cumulative_cases_reported,ICU,VENT,CASE_REPORT,Reff,doubling_t,N,cases_active,hospitalizations,cases_per_100k
AFG,2020-09-23,mean,2343.4858569999965,1446.0079999999828,-945.3166229999989,-42.668298999999955,0.0,851936.2103500008,39102.32958900002,36.40603799999998,27.06180100000003,0.049240177198842036,1.2753988094179476,624.6250940819007,39633168.64611191,6616.6232519999985,137.71492999999995,16.694661259816026
AFG,2020-09-24,mean,2360.970149000002,1448.6610429999992,655.514224,29.810472000000008,2.6520689999999956,852591.7288719999,39132.143265,35.32321100000001,26.28096400000001,0.04924017723367124,1.2753988096328381,624.6250945538418,39633169.171767004,6326.157703999992,133.27741199999988,15.961776048195711
AFG,2020-09-25,mean,2436.3325780000027,1678.075041999999,758.2256790000013,34.60377200000001,229.4130350000003,853349.9574289987,39166.75133300001,103.35295499999991,78.75218299999997,0.04924021244468913,1.2753988727849341,624.6261389915234,39633622.99767199,6159.316458000008,358.84410800000023,15.540634421339165
AFG,2020-09-26,mean,2551.4493689999986,1894.4606869999996,837.2836039999999,38.29384400000007,216.38142600000003,854187.2434160003,39205.049665,168.59256900000022,129.045295,0.04924024590654505,1.2753988783091192,624.6269606784389,39634052.1281459,6093.789601000003,575.6514739999996,15.375136464213641
AFG,2020-09-27,mean,2684.5562999999966,2095.582519999998,886.4671330000001,40.53758899999999,201.11647999999965,855073.7122449987,39245.59179400001,229.671986,176.11300600000015,0.04924027718939889,1.27539889462292,624.6278106758098,39634450.51678701,6094.290039000008,778.9929569999998,15.376244553759605
AFG,2020-09-28,mean,2825.541025,2349.3577139999984,927.6333620000003,42.501840999999956,253.770495,856001.3474410011,39288.09820000001,306.2924129999998,235.15817300000032,0.04924031548091481,1.275398870274783,624.6288752584948,39634951.98036701,6144.652153999993,1034.2084100000006,15.503114919992127
AFG,2020-09-29,mean,2966.1238520000043,2600.0770469999998,959.1672379999999,43.99147500000006,250.714796,856960.5175070014,39332.09484000004,383.2156619999998,294.458576,0.049240352870286934,1.2753988487676744,624.6298936854269,39635450.85447894,6227.31316299999,1290.8216299999995,15.711473009007747
AFG,2020-09-30,mean,3105.3450160000075,2879.2860469999973,990.6528329999998,45.462990999999974,279.20411499999966,857951.1728479997,39377.562849000045,467.7220779999999,359.7219800000002,0.04924039098207155,1.2753988166051717,624.630787222064,39636003.90728097,6336.294293000014,1573.771961,15.986208669830267
AFG,2020-10-01,mean,3244.0732429999975,3165.736943999999,1024.6183190000002,47.0171349999999,286.44662599999975,858975.793734999,39424.58512399997,552.908505000001,425.9550979999996,0.04924041857943615,1.2753988028796521,624.6317817571643,39636570.08785702,6469.644240000008,1863.095466,16.32241191823516
AFG,2020-10-02,mean,3383.2996169999997,3509.640249000001,1061.3088950000006,48.75455199999998,343.89886099999967,860037.1049259998,39473.34449700004,649.214553,502.5298219999996,0.04924040972189135,1.2753988479267293,624.6328725204091,39637246.27986301,6626.081539999999,2205.3973170000017,16.71680593857566
AFG,2020-10-03,mean,3523.6116650000004,3919.6547519999995,1098.5841649999995,50.474497000000056,410.00981699999943,861135.6918399996,39523.82321300004,759.1306569999996,592.1992490000011,0.04924035251945679,1.27539888930765,624.6342095735988,39638057.023267895,6802.259527999993,2616.433698000001,17.160930779243305
