adm1,date,stat,cases_asymptomatic_active,cumulative_deaths,daily_cases,daily_cases_reported,daily_deaths,cumulative_cases,cumulative_cases_reported,ICU,VENT,CASE_REPORT,Reff,doubling_t,N,cases_active,hospitalizations,cases_per_100k
1.0,2020-07-05,mean,4386.699241999999,501.52199999999743,-1767.8348689999998,-47.936403999999946,0.0,269789.62019300024,7270.063608999994,69.75490599999988,51.82348800000005,0.028872000000011142,0.9812539473641035,90.7714363302891,7496798.200096006,12422.557099000012,265.7881540000002,165.7048351500368
1.0,2020-07-06,mean,4441.5535210000035,506.29696900000005,1738.1242339999992,48.039875999999936,4.776281,271527.7443839998,7318.103424000013,70.35629399999988,51.76940199999996,0.028872000000369085,0.9812539473655353,90.77143633101278,7496798.199079988,11869.339535000017,267.4674710000002,158.32545067648522
1.0,2020-07-07,mean,4546.563822000003,510.6574210000002,1825.3817490000008,50.48929700000003,4.360504,273353.12608200015,7368.592739000011,72.11327600000004,52.59888300000002,0.028872000001041374,0.9812539473518257,90.77143633640314,7496798.202944973,11509.14441,273.7651870000003,153.52079779176736
1.0,2020-07-08,mean,4677.217041000002,514.8202169999997,1854.3559890000006,51.241014,4.16278,275207.4820840004,7419.833742000005,74.71206599999996,54.11229099999994,0.028872000079384782,0.872987065351704,90.77143641277432,7496798.366222993,11245.046993000018,283.43733199999957,149.99799172490555
1.0,2020-07-09,mean,4812.808985999995,519.0772600000008,1845.7432370000033,50.97494500000007,4.257090999999998,277053.2253719999,7470.808659999995,77.66526200000004,55.97561200000001,0.028872000450830385,0.8729869532133661,90.7714370975503,7496799.565668983,11050.17453199999,294.591447,147.39855901448152
1.0,2020-07-10,mean,4895.286297000005,524.6668429999996,1728.4740420000014,47.696796999999954,5.589557000000001,278781.69940499973,7518.5055150000035,80.35551000000011,57.787452999999935,0.02887200029986424,0.8729864156342106,90.77144005825,7496806.4749199925,10821.178575999995,305.07932100000005,144.34384310441308
1.0,2020-07-11,mean,4935.346152999995,542.0236400000005,1622.9825250000004,44.73842600000006,17.356804999999987,280404.681932,7563.243906000001,84.2313409999999,61.02638299999995,0.02887200121637179,0.8729848416052809,90.77146778507033,7496842.328288008,10572.815380999993,323.04554199999967,141.03024871025156
1.0,2020-07-12,mean,4951.816708999996,672.7928350000001,1551.3989580000002,42.737580000000065,130.76909099999995,281956.08087500004,7605.9814499999975,103.85254099999999,80.229511,0.028872031516469825,0.8729818858003147,90.77175960853573,7497085.178055011,10334.762782000005,428.63876700000003,137.8504116806791
1.0,2020-07-13,mean,4955.005120999992,933.5913699999993,1497.181909999997,41.15116800000006,260.79867299999995,283453.26277700014,7647.132706999995,152.97938900000005,129.13584200000003,0.028872106489360484,0.8729763841178058,90.7723680601883,7497622.812731004,10116.205033999999,697.6754530000007,134.9254995439705
1.0,2020-07-14,mean,4948.7639800000015,1162.3220580000007,1452.7648649999994,39.92984700000003,228.73066200000005,284906.0276780003,7687.062568000004,194.18820000000008,170.292803,0.028872170764852156,0.8729714161654031,90.77289136037439,7498085.620471999,9920.499747000002,923.8340620000006,132.3071014275176
