adm0,date,quantile,R_eff,active_asymptomatic_cases,case_reporting_rate,cumulative_cases,cumulative_deaths,cumulative_deaths_per_100k,cumulative_reported_cases,cumulative_reported_cases_per_100k,current_hospitalizations,current_hospitalizations_per_100k,current_icu_usage,current_vent_usage,daily_cases,daily_deaths,daily_hospitalizations,daily_reported_cases,doubling_t,total_population
SSD,2020-11-25,0.01,1.18529261649772,8.672906351690207,0.11593202440527565,18237.62345732609,57.01704728208416,0.5109698543127595,2905.8304759127245,26.041190235420192,0.2170823827795257,0.0019454278814886108,0.07079396847440288,0.055068636239388,6.2744155457295445,0.01962045673848689,0.0,1.0,159.40306169144398,11158593.173519116
SSD,2020-11-25,0.025,1.1858919071704128,13.746549767306314,0.11926180486203047,18466.321798020326,57.01704728208416,0.5109698543127595,2905.8304759127245,26.041190235420192,0.3104558591021248,0.002782213261783569,0.104640181848834,0.07794528959216904,6.3561018844051445,0.01962045673848689,0.0,1.0,160.7378344371163,11158593.173519116
SSD,2020-11-25,0.05,1.1863890493408096,20.07582864892289,0.12180163581325235,18774.588102358764,57.01704728208416,0.5109698543127595,2905.8304759127245,26.041190235420192,0.5024069218431189,0.004502421712401882,0.1576732603773723,0.1179762681782068,6.462208897534849,0.01962045673848689,0.0,1.0,161.65051032096747,11158593.173519116
SSD,2020-11-25,0.1,1.1870268846682706,28.39417401388916,0.12567244034288405,19177.8454127491,57.01704728208416,0.5109698543127595,2905.8304759127245,26.041190235420192,0.672336184042151,0.006025277322930796,0.2239891027073385,0.16823281478244825,6.600116341480402,0.01962045673848689,0.0,1.0,162.81464267313206,11158593.173519116
SSD,2020-11-25,0.15,1.1873934493625422,41.029304523183896,0.12833233996480722,19509.9066051473,57.01704728208416,0.5109698543127595,2905.8304759127245,26.041190235420192,1.0401057712773951,0.00932111920475522,0.33240486743160363,0.2516348362710173,6.714868829148334,0.01962045673848689,0.0,1.0,163.59437626556024,11158593.173519116
SSD,2020-11-25,0.2,1.187667383674069,54.68331190821034,0.1305935348847466,19714.52536897292,57.01704728208416,0.5109698543127595,2905.8304759127245,26.041190235420192,1.3299234576397967,0.011918379288133642,0.4386862818424955,0.3210446554995831,6.784016685817604,0.01962045673848689,0.0,1.0,164.3159440042634,11158593.173519116
SSD,2020-11-25,0.25,1.1879324205340591,63.03386156875061,0.13236090533337713,19962.732205320463,57.01704728208416,0.5109698543127595,2905.8304759127245,26.041190235420192,1.6241511938643869,0.014555160929414671,0.5287139855478055,0.3949390720894514,6.868455271898152,0.01962045673848689,0.0,1.0,164.8512964911171,11158593.173519116
SSD,2020-11-25,0.3,1.1882206663566741,72.27801247247079,0.13377930024481471,20168.29278500461,57.01704728208415,0.5109698543127594,2905.8304759127245,26.041190235420192,1.874591628110696,0.01679953376702863,0.6071920322916164,0.4554895472627263,6.940711677753956,0.01962045673848689,0.0,1.0,165.3831885069573,11158593.173519116
SSD,2020-11-25,0.35,1.1884792529909334,80.26959744192095,0.13565798772987106,20339.513619388257,57.01704728208416,0.5109698543127595,2905.8304759127245,26.041190235420192,2.0659127439811686,0.018514096820770067,0.6666994173367609,0.4951952359413026,6.997292975395355,0.01962045673848689,0.0,1.0,165.78310545157524,11158593.173519116
SSD,2020-11-25,0.4,1.1886778715628832,88.50343311724536,0.13689024267039734,20510.197703380058,57.01704728208415,0.5109698543127594,2905.8304759127245,26.041190235420192,2.2261323011759706,0.019949936937022586,0.7082786177323166,0.5332502932177179,7.054854734612877,0.01962045673848689,0.0,1.0,166.18266844532448,11158593.173519116
