adm1,date,q,cases_asymptomatic_active,cumulative_deaths,daily_cases,daily_cases_reported,daily_deaths,cumulative_cases,cumulative_cases_reported,ICU,VENT,CASE_REPORT,Reff,doubling_t,N,cases_active,hospitalizations,cases_per_100k
1.0,2020-08-22,0.05,1.81355,39.556999999999995,-6.5133,-0.72305,0.0,11821.017500000002,2109.27695,0.034,0.024,0.07594999995122143,1.0068386766510766,453.14724208377055,1249523.758,6.09325,0.14195,0.48764578992502844
1.0,2020-08-22,0.25,3.5367499999999996,39.556999999999995,-3.4085,-0.38850000000000007,0.0,14292.91725,2109.6115,0.065,0.047,0.09999999999999999,1.0079426328755388,529.2456644121497,1249523.759,10.993500000000001,0.25975000000000004,0.8798152032577717
1.0,2020-08-22,0.5,5.385,39.556999999999995,-1.9085,-0.235,0.0,17286.7985,2109.765,0.098,0.071,0.122,1.0089167300192035,577.2548836198914,1249523.76,15.973500000000001,0.382,1.2783670476182063
1.0,2020-08-22,0.75,8.04025,39.556999999999995,-1.187,-0.144,0.0,21094.9825,2109.856,0.14825,0.111,0.1479999997631097,1.0101002318119183,627.5373814883183,1249523.76,22.330250000000003,0.54925,1.7871008711350957
1.0,2020-08-22,0.95,14.463099999999999,39.556999999999995,-0.53,-0.069,0.0,27931.8761,2109.931,0.26804999999999995,0.19614999999999985,0.17804999985750566,1.0128068150689615,711.5328755512785,1249523.761,37.014299999999984,0.9535499999999977,2.962272599792521
1.0,2020-08-23,0.05,1.80935,39.55994999999999,0.7935500000000001,0.115,0.002,11821.83115,2109.4497499999998,0.035,0.025,0.07595000013056974,1.0068386767314579,453.1472417767641,1249523.757,5.67295,0.14300000000000002,0.4540089748769779
1.0,2020-08-23,0.25,3.524,39.562,1.1430000000000002,0.148,0.005,14294.101499999999,2109.80275,0.064,0.046,0.1000000000800305,1.007942633078016,529.2456643452788,1249523.7589999998,10.38025,0.2535,0.8307365046269602
1.0,2020-08-23,0.5,5.403,39.564,1.4874999999999998,0.183,0.007,17288.9305,2109.944,0.0965,0.07,0.12200000000000003,1.0089167312308653,577.2548839499559,1249523.7599999998,15.139,0.37,1.2115816028980515
1.0,2020-08-23,0.75,8.03625,39.567,1.964,0.21725,0.01,21097.02525,2110.04225,0.144,0.108,0.14799999955583076,1.0101002297890675,627.5373805117741,1249523.761,21.51425,0.534,1.7217959891200503
1.0,2020-08-23,0.95,14.486899999999995,39.574,3.014899999999999,0.2930999999999999,0.017,27935.80275,2110.1510999999996,0.25504999999999994,0.18704999999999994,0.1780499998288547,1.0128068142967817,711.5328744472652,1249523.762,35.62849999999999,0.9301999999999998,2.8513663432036425
1.0,2020-08-24,0.05,1.8013,39.562,0.8279,0.118,0.002,11822.6498,2109.6900000000005,0.037,0.026,0.07594999995422257,1.0068386760053816,453.1472434972531,1249523.757,5.3383,0.15095,0.42722677100728385
1.0,2020-08-24,0.25,3.5255,39.565999999999995,1.2494999999999998,0.158,0.004,14295.40725,2110.0,0.064,0.046,0.10000000006002287,1.0079426350965388,529.2456653366584,1249523.7580000001,9.875999999999998,0.253,0.7903811301521485
1.0,2020-08-24,0.5,5.435499999999999,39.57,1.6559999999999997,0.2015,0.006,17291.620000000003,2110.1385,0.0955,0.07,0.12200000009763719,1.008916731631351,577.2548836772354,1249523.759,14.711,0.364,1.177328553702195
1.0,2020-08-24,0.75,8.20925,39.576,2.22025,0.25325,0.009,21099.29625,2110.25225,0.141,0.107,0.14799999958544205,1.0101002314085648,627.537381794555,1249523.76,20.955250000000003,0.51675,1.6770589460419705
1.0,2020-08-24,0.95,15.217149999999991,39.589,3.9922999999999997,0.4071499999999999,0.015,27940.24504999999,2110.4320500000003,0.2462999999999997,0.18114999999999987,0.17804999982885475,1.0128068150761589,711.5328749934707,1249523.7619999999,34.92084999999999,0.9052999999999998,2.794732766354546
1.0,2020-08-25,0.05,1.8759,39.564,1.0969499999999996,0.147,0.002,11823.718250000002,2110.0216000000005,0.038950000000000005,0.027,0.07595000013056974,1.0068386773365194,453.14724271641364,1249523.756,5.166750000000001,0.15795,0.4134975405781722
1.0,2020-08-25,0.25,3.721,39.571,1.6694999999999998,0.199,0.004,14297.656500000001,2110.25275,0.065,0.047,0.100000000160061,1.007942633888879,529.245665661213,1249523.758,9.913499999999999,0.257,0.793382273568583
1.0,2020-08-25,0.5,5.9125,39.576,2.4345,0.2875,0.006,17296.292499999996,2110.4215000000004,0.098,0.071,0.12200000004881859,1.0089167308222426,577.2548835586807,1249523.759,15.0705,0.37,1.2060995152313865
1.0,2020-08-25,0.75,9.37625,39.583999999999996,3.40775,0.393,0.008,21103.0005,2110.5789999999997,0.14225,0.109,0.14799999946699693,1.0101002316102414,627.5373808896435,1249523.76,21.69525,0.52825,1.7362815093648158
1.0,2020-08-25,0.95,16.156450000000003,39.603049999999996,4.741749999999999,0.583,0.014,27944.88615,2110.9141,0.24204999999999993,0.18109999999999993,0.17804999997134907,1.0128068143165494,711.5328737120465,1249523.7619999999,35.35389999999999,0.8911,2.8293899704165844
1.0,2020-08-26,0.05,2.1248500000000003,39.567,0.486,0.057,0.002,11825.559949999999,2110.1659500000005,0.041,0.029,0.07595000001500571,1.006838679109764,453.1472405726786,1249523.757,5.4636,0.161,0.43725459155075513
