adm1,R_eff,daily_reported_cases_per_100k_tomorrow,daily_cases_total_per_100k_tomorrow,daily_reported_cases_per_100k_inTWOweeks,daily_cases_total_per_100k_inTWOweeks,daily_reported_cases_per_100k_abs_change,daily_cases_total_per_100k_abs_change,ADM1_PCODE,ADM1_EN
AF01,0.9546667612204592,4.7230004097419725e-06,0.00027431772667884757,2.6637991976118644e-05,0.0014843722621894944,2.1914991566376673e-05,0.0012100545355106468,AF01,Kabul
AF02,0.994519698927418,0.12485972429203118,4.38351878036523,0.10542849022266212,3.6939648068591455,-0.019431234069369058,-0.6895539735060843,AF02,Kapisa
AF03,0.9888174295496284,0.062455178419019264,2.1589193654641186,0.051207159125537575,1.7901676850215436,-0.011248019293481688,-0.368751680442575,AF03,Parwan
AF04,1.0018985792568509,0.06863424025546278,2.377557191186375,0.057836295765911254,1.9980729551309286,-0.010797944489551521,-0.37948423605544646,AF04,Maidan Wardak
AF05,1.0004151434987456,0.010271819856234474,0.34728289142158464,0.007506303291829599,0.2628857915582292,-0.0027655165644048744,-0.08439709986335542,AF05,Logar
AF06,0.9702850529553548,0.06946001591031871,2.4139605904091783,0.06234867417554542,2.1808062816156313,-0.007111341734773291,-0.23315430879354704,AF06,Nangarhar
AF07,1.0020274012001025,0.01375701242221734,0.47422585526735006,0.011591366470422273,0.40289358569335815,-0.002165645951795067,-0.07133226957399191,AF07,Laghman
AF08,1.0017783703662393,0.06994409572927697,2.4220322485089807,0.05575404185678421,1.9567510670430392,-0.01419005387249276,-0.46528118146594144,AF08,Panjsher
AF09,1.0027048998574677,2.17987219468214e-06,7.723154553818206e-05,1.9745584266256336e-05,0.0006864317284967121,1.7565712071574196e-05,0.00060920018295853,AF09,Baghlan
AF10,1.0029373592667212,3.29018989023406e-06,0.00011605439324837555,2.535835450135292e-05,0.0008707481040438633,2.206816461111886e-05,0.0007546937107954878,AF10,Bamyan
AF11,0.9974148612957796,1.033938316855054e-05,0.0003625257145717842,7.906625633588576e-05,0.0027142943272370624,6.872687316733522e-05,0.002351768612665278,AF11,Ghazni
AF12,1.0023146833411778,0.0,0.0,2.1402119173261929e-10,7.545254320108561e-09,2.1402119173261929e-10,7.545254320108561e-09,AF12,Paktika
AF13,1.0018034507764504,4.384053625290223e-07,1.5231989919102536e-05,2.2031721741727867e-06,7.48826591963555e-05,1.7647668116437643e-06,5.9650669277252955e-05,AF13,Paktya
AF14,0.9975812155878441,0.0,0.0,1.0868934656990025e-10,3.867210674719121e-09,1.0868934656990025e-10,3.867210674719121e-09,AF14,Khost
AF15,1.0018019171943109,0.010455206029458998,0.3616599651406421,0.008848203573457803,0.30905065544128923,-0.0016070024560011949,-0.052609309699352846,AF15,Kunar
AF16,1.0052596492354695,0.07827729192429964,2.693150364664259,0.0651846244810101,2.282198493663833,-0.013092667443289532,-0.41095187100042585,AF16,Nuristan
AF17,1.000905149666095,0.022726671233077783,0.7866662822025192,0.019269290163352833,0.6720978189769917,-0.0034573810697249505,-0.1145684632255275,AF17,Badakhshan
AF18,0.99618201849206,0.011175226454697021,0.38889474087554965,0.009322052669585718,0.3241343226870812,-0.0018531737851113037,-0.06476041818846845,AF18,Takhar
AF19,0.9938650217865506,0.0340976126931271,1.1875573404610218,0.02882739905189432,1.0018023428437404,-0.005270213641232778,-0.18575499761728143,AF19,Kunduz
AF20,1.0016531174988268,1.1807699052897138e-06,4.095084069850306e-05,6.006127008862162e-06,0.0002036357457945513,4.825357103572448e-06,0.00016268490509604826,AF20,Samangan
AF21,0.9858520146314308,0.006336297645926655,0.21438185738350035,0.005196123734577772,0.178176824416258,-0.001140173911348883,-0.03620503296724234,AF21,Balkh
AF22,1.0003169064719772,7.630465966978108e-07,2.6391916523493003e-05,3.899058794274146e-06,0.00013227803261864988,3.1360121975763354e-06,0.00010588611609515688,AF22,Sar-e-Pul
AF23,1.0011317522269414,1.9171790815230297e-05,0.0006768882524702359,0.00014249143235145362,0.004897353476953553,0.00012331964153622333,0.004220465224483317,AF23,Ghor
AF24,1.0020903104607086,1.6186903375129795e-05,0.0005732268946761191,0.00011852798003628792,0.004099575372157853,0.00010234107666115812,0.003526348477481734,AF24,Daykundi
AF25,1.003114296868929,0.11148886324131038,3.9068141652667023,0.09127801611641678,3.158636288886415,-0.0202108471248936,-0.7481778763802875,AF25,Uruzgan
AF26,1.0016701425403367,3.549169107937831e-05,0.001245812683194754,0.0002421712988682429,0.008406502695761719,0.0002066796077888646,0.007160690012566965,AF26,Zabul
AF27,0.9902823670706322,0.26322843537643054,9.058272438163554,0.21211890039426254,7.43565392852073,-0.051109534982168,-1.622618509642824,AF27,Kandahar
AF28,1.0009319818882236,2.0842616054182637e-06,7.236409436177812e-05,1.0685655363876068e-05,0.0003615331942060456,8.601393758457803e-06,0.0002891690998442675,AF28,Jawzjan
AF29,0.998293274549175,0.0,0.0,5.578223105433292e-09,1.9374054015906854e-07,5.578223105433292e-09,1.9374054015906854e-07,AF29,Faryab
AF30,0.9990334007378808,0.12984197539636957,4.4875105236837705,0.11214552510966817,3.868258346935584,-0.0176964502867014,-0.6192521767481867,AF30,Hilmand
AF31,1.0016608328947658,6.4361918215167724e-06,0.00022778456975018258,4.9682639278620535e-05,0.0017309381347267428,4.3246447457103764e-05,0.0015031535649765602,AF31,Badghis
AF32,0.9705633974084364,0.07285366838389905,3.0676333993980696,0.05765934201777482,2.4245814488339366,-0.01519432636612423,-0.643051950564133,AF32,Hirat
AF33,1.0026026583784082,3.3095956054694004e-05,0.0011659970827782129,0.0002295898029509123,0.007940323937653643,0.00019649384689621828,0.00677432685487543,AF33,Farah
AF34,1.0033616988085234,0.13984472460168135,4.84468747860804,0.10628370359309566,3.724812862770202,-0.033561021008585684,-1.1198746158378379,AF34,Nimroz
