ID,ISO3,add_or_remove,acaps_category,acaps_measure,acaps_comments,source,bucky_measure,start_date,end_date,affected_pcodes,compliance_level,can_be_modelled,final_input,npis_linked,ocha_comments
339,SSD,add,Public health measures,Health screenings in airports and border crossings,| | | | non compliance: Not applicable,Eye Radio | source type: Media | link: https://eyeradio.org/some-vips-avoid-coronavirus-screening-at-jia/ |,closing borders,2020-02-20,,,,,No,,
326,SSD,add,Movement restrictions,International flights suspension,Flights suspended with affected countries. | | | targeted pop group: checked | non compliance: Not applicable,AA | source type: Media | link: https://www.aa.com.tr/en/africa/s-sudan-halts-flights-with-covid-19-affected-countries/1765141 |,closing borders,2020-03-13,,,,,No,,
345,SSD,add,Public health measures,Awareness campaigns,Sanitation and hygiene recommendations | | | | non compliance: Not applicable,East African | source type: Media | link: https://www.theeastafrican.co.ke/news/ea/South-Sudan-precautions-against-coronavirus/4552908-5491866-1258q0d/index.html |,awareness campaign,2020-03-15,,,,,No,,
806,SSD,add,Public health measures,Isolation and quarantine policies,"travelers from coronavirus affected countries are required to self-quarantine, including appointed ministers and deputy ministers | | | targeted pop group: checked | non compliance: Not applicable",AA | source type: Media | link: https://www.aa.com.tr/en/africa/coronavirus-south-sudan-bans-social-gatherings/1768378 | alternative source: https://sudantribune.com/spip.php?article69109,social distancing,2020-03-16,,,,,No,,
805,SSD,add,Social distancing,Limit public gatherings,ban of public gatherings | | | | non compliance: Not available,Anadolu | source type: Media | link: https://www.aa.com.tr/en/africa/coronavirus-south-sudan-bans-social-gatherings/1768378 |,reduction of size of gatherings,2020-03-15,,,,,No,,
2955,SSD,add,Social distancing,Limit public gatherings,South sudan suspends training of its military. | | | targeted pop group: checked | non compliance: Not applicable,AA News | source type: Media | link: https://www.aa.com.tr/en/africa/covid-19-s-sudan-suspends-training-of-unified-forces/1782177 |,reduction of size of gatherings,2020-03-27,,,,,No,,
5347,SSD,add,Movement restrictions,Curfews,South sudan has curfew from 8pm to 6am. | | | | non compliance: Arrest/Detention,OSAC | source type: Government | link: https://www.osac.gov/Content/Report/10c44b03-fdf8-4249-856a-1848aca55939 |,social distancing,2020-03-25,,,,,No,,
5348,SSD,add,Social distancing,Limit public gatherings,"Governmnet directs postponement of weddings, festivals and other religious and sporting events. | | | targeted pop group: checked | non compliance: Arrest/Detention",South Sudan Governmnet | source type: Social media | link: https://twitter.com/SouthSudanGov/status/1246764630044815360/photo/1 |,reduction of size of gatherings,2020-04-05,,,,,No,,
5350,SSD,add,Movement restrictions,Domestic travel restrictions,"Suspension of passenger public transport, both public and private, between states. | | | | non compliance: Arrest/Detention",South Sudan Governmnet | source type: Social media | link: https://twitter.com/SouthSudanGov/status/1249717234739675143/photo/2 |,restricting inter-regional movement,2020-04-05,,,,,No,,
5349,SSD,add,Movement restrictions,Domestic travel restrictions,Suspension of all internal flights | | | | non compliance: Arrest/Detention,South Sudan Governmnet | source type: Social media | link: https://twitter.com/SouthSudanGov/status/1249717234739675143/photo/2 |,restricting inter-regional movement,2020-04-05,,,,,No,,
5351,SSD,add,Social distancing,Limit public gatherings,Government directs that funeral gatherings be less than 5 people. | | | | non compliance: Arrest/Detention,South Sudan Governmnet | source type: Social media | link: https://twitter.com/SouthSudanGov/status/1246764630044815360/photo/1 |,reduction of size of gatherings,2020-04-05,,,,,No,,
