metric_name,metric_value,assessment_date,country
Estimated doubling time NPI,783.3663631318561,2020-09-09,AFG
NPI Reff,1.006205700036472,2020-09-09,AFG
Estimated doubling time No NPI,418.9892424089463,2020-09-09,AFG
No NPI Reff,1.01162186692252,2020-09-09,AFG
Current situation - WHO cases today,38544.0,2020-09-09,AFG
Current situation - WHO deaths today,1420.0,2020-09-09,AFG
CFR,3.684101286841013,2020-09-09,AFG
Weekly new cases wrt last week - trend,77.08333333333333,2020-09-09,AFG
Weekly new deaths wrt last week - trend,-33.333333333333336,2020-09-09,AFG
Estimated case reporting rate,4.984143326350914,2020-09-09,AFG
NPI - projected reported cases in 4w - MIN,39341.22925000005,2020-09-09,AFG
NPI - projected reported cases in 4w - MAX,39581.69424999997,2020-09-09,AFG
NPI - projected TREND reported cases in 4w - MIN,2.172767556802059,2020-09-09,AFG
NPI - projected TREND reported cases in 4w - MAX,2.797277136673374,2020-09-09,AFG
NPI - projected reported deaths in 4w - MIN,1466.0374999999995,2020-09-09,AFG
NPI - projected reported deaths in 4w - MAX,1485.9227500000006,2020-09-09,AFG
NPI - projected TREND reported deaths in 4w - MIN,3.241495822558754,2020-09-09,AFG
NPI - projected TREND reported deaths in 4w - MAX,4.641857651506265,2020-09-09,AFG
NO NPI - projected reported cases in 4w - MIN,40104.97775000001,2020-09-09,AFG
NO NPI - projected reported cases in 4w - MAX,40560.33525000003,2020-09-09,AFG
NO NPI - projected reported deaths in 4w - MIN,1482.7082499999995,2020-09-09,AFG
NO NPI - projected reported deaths in 4w - MAX,1509.885999999998,2020-09-09,AFG
Hospitalizations current situation - MIN,101.2605,2020-09-09,AFG
Hospitalizations current situation - MAX,166.74724999999995,2020-09-09,AFG
NPI Hospitalizations projections 4w - MIN,126.8,2020-09-09,AFG
NPI Hospitalizations projections 4w - MAX,202.2785,2020-09-09,AFG
NO NPI Hospitalizations projections 4w - MIN,295.9602499999998,2020-09-09,AFG
NO NPI Hospitalizations projections 4w - MAX,467.69724999999977,2020-09-09,AFG
Estimated doubling time NPI,832.2434789714529,2020-09-23,AFG
NPI Reff,1.0058405863048212,2020-09-23,AFG
Estimated doubling time No NPI,450.497001883126,2020-09-23,AFG
No NPI Reff,1.010806328905134,2020-09-23,AFG
Current situation - WHO cases today,39096,2020-09-23,AFG
Current situation - WHO deaths today,1445,2020-09-23,AFG
CFR,3.6960302844280744,2020-09-23,AFG
Weekly new cases wrt last week - trend,65.84362139917694,2020-09-23,AFG
Weekly new deaths wrt last week - trend,162.5,2020-09-23,AFG
Estimated case reporting rate,4.965864506126487,2020-09-23,AFG
NPI - projected reported cases in 4w - MIN,39914,2020-09-23,AFG
NPI - projected reported cases in 4w - MAX,40132,2020-09-23,AFG
NPI - projected TREND reported cases in 4w - MIN,2.066179102950954,2020-09-23,AFG
NPI - projected TREND reported cases in 4w - MAX,2.623638316370889,2020-09-23,AFG
NPI - projected reported deaths in 4w - MIN,1490,2020-09-23,AFG
NPI - projected reported deaths in 4w - MAX,1509,2020-09-23,AFG
NPI - projected TREND reported deaths in 4w - MIN,3.0428769017980635,2020-09-23,AFG
NPI - projected TREND reported deaths in 4w - MAX,4.356846473029045,2020-09-23,AFG
NO NPI - projected reported cases in 4w - MIN,40623,2020-09-23,AFG
NO NPI - projected reported cases in 4w - MAX,41043,2020-09-23,AFG
NO NPI - projected reported deaths in 4w - MIN,1505,2020-09-23,AFG
NO NPI - projected reported deaths in 4w - MAX,1531,2020-09-23,AFG
Maximum number of extra cases if NPIs are lifted,1129,2020-09-23,AFG
Maximum number of extra deaths if NPIs are lifted,41,2020-09-23,AFG
Current situation - latest date MPHO reported numbers,2020-09-23,2020-09-23,AFG
Current situation - latest MPHO cases,39145,2020-09-23,AFG
Current situation - latest MPHO deaths,1446,2020-09-23,AFG
Hospitalizations current situation - MIN,100.90374999999996,2020-09-23,AFG
Hospitalizations current situation - MAX,165.9872500000001,2020-09-23,AFG
NPI Hospitalizations projections 4w - MIN,121.3165,2020-09-23,AFG
NPI Hospitalizations projections 4w - MAX,193.33674999999997,2020-09-23,AFG
NO NPI Hospitalizations projections 4w - MIN,277.44349999999986,2020-09-23,AFG
NO NPI Hospitalizations projections 4w - MAX,441.71225000000015,2020-09-23,AFG
Estimated doubling time NPI,959.8014230245961,2020-10-07,AFG
NPI Reff,1.0050631569664166,2020-10-07,AFG
Estimated doubling time No NPI,550.8851884132804,2020-10-07,AFG
No NPI Reff,1.0088317254606387,2020-10-07,AFG
Current situation - WHO cases today,39486,2020-10-07,AFG
Current situation - WHO deaths today,1467,2020-10-07,AFG
CFR,3.7152408448564045,2020-10-07,AFG
Estimated case reporting rate,4.9116093233986025,2020-10-07,AFG
NPI - projected reported cases in 4w - MIN,40194.2845,2020-10-07,AFG
NPI - projected reported cases in 4w - MAX,40432.765749999984,2020-10-07,AFG
NPI - projected additional reported cases in 4w - MIN,681.1474999999846,2020-10-07,AFG
